#train, test, max_depth, max_features, class_weight
0.9538333333333333, 0.9533898305084746, 1, None, None
0.9538333333333333, 0.9533898305084746, 1, None, dictionary
0.985, 0.9858757062146892, 2, None, None
0.985, 0.9858757062146892, 2, None, dictionary
0.985, 0.9858757062146892, 3, None, None
0.985, 0.9858757062146892, 3, None, dictionary
0.985, 0.9858757062146892, 4, None, None
0.985, 0.9858757062146892, 4, None, dictionary
0.9978333333333333, 0.998587570621469, 5, None, None
0.9978333333333333, 0.998587570621469, 5, None, dictionary
1.0, 1.0, 6, None, None
1.0, 1.0, 6, None, dictionary
1.0, 1.0, 7, None, None
1.0, 1.0, 7, None, dictionary
1.0, 1.0, 8, None, None
1.0, 1.0, 8, None, dictionary
1.0, 1.0, 9, None, None
1.0, 1.0, 9, None, dictionary
1.0, 1.0, 10, None, None
1.0, 1.0, 10, None, dictionary
0.9538333333333333, 0.9533898305084746, 1, sqrt, None
0.5213333333333333, 0.5084745762711864, 1, sqrt, dictionary
0.9001666666666667, 0.9072504708097928, 2, sqrt, None
0.6815, 0.6831450094161958, 2, sqrt, dictionary
0.9138333333333334, 0.9138418079096046, 3, sqrt, None
0.8983333333333333, 0.8973634651600754, 3, sqrt, dictionary
0.9256666666666666, 0.931261770244821, 4, sqrt, None
0.9683333333333334, 0.972693032015066, 4, sqrt, dictionary
0.9838333333333333, 0.9854048964218456, 5, sqrt, None
0.9995, 0.9995291902071564, 5, sqrt, dictionary
0.9813333333333333, 0.9830508474576272, 6, sqrt, None
0.9885, 0.9872881355932204, 6, sqrt, dictionary
1.0, 1.0, 7, sqrt, None
0.991, 0.995291902071563, 7, sqrt, dictionary
0.991, 0.9915254237288136, 8, sqrt, None
0.981, 0.980225988700565, 8, sqrt, dictionary
0.9988333333333334, 0.9995291902071564, 9, sqrt, None
0.996, 0.9962335216572504, 9, sqrt, dictionary
1.0, 1.0, 10, sqrt, None
1.0, 1.0, 10, sqrt, dictionary
