#train, test, max_depth, max_features, class_weight
0.9526666666666667, 0.9566854990583804, 1, None, None
0.9526666666666667, 0.9566854990583804, 1, None, dictionary
0.9856666666666667, 0.9839924670433146, 2, None, None
0.9856666666666667, 0.9839924670433146, 2, None, dictionary
0.9856666666666667, 0.9839924670433146, 3, None, None
0.9856666666666667, 0.9839924670433146, 3, None, dictionary
0.9856666666666667, 0.9839924670433146, 4, None, None
0.9856666666666667, 0.9839924670433146, 4, None, dictionary
0.9978333333333333, 0.998587570621469, 5, None, None
0.9978333333333333, 0.998587570621469, 5, None, dictionary
1.0, 1.0, 6, None, None
1.0, 1.0, 6, None, dictionary
1.0, 1.0, 7, None, None
1.0, 1.0, 7, None, dictionary
1.0, 1.0, 8, None, None
1.0, 1.0, 8, None, dictionary
1.0, 1.0, 9, None, None
1.0, 1.0, 9, None, dictionary
1.0, 1.0, 10, None, None
1.0, 1.0, 10, None, dictionary
0.904, 0.9133709981167608, 1, sqrt, None
0.5181666666666667, 0.5174199623352166, 1, sqrt, dictionary
0.946, 0.948210922787194, 2, sqrt, None
0.8416666666666667, 0.8408662900188324, 2, sqrt, dictionary
0.9731666666666666, 0.9703389830508474, 3, sqrt, None
0.9265, 0.934557438794727, 3, sqrt, dictionary
0.9908333333333333, 0.9882297551789078, 4, sqrt, None
0.938, 0.9453860640301318, 4, sqrt, dictionary
0.9956666666666667, 0.993879472693032, 5, sqrt, None
0.9801666666666666, 0.9769303201506592, 5, sqrt, dictionary
1.0, 1.0, 6, sqrt, None
0.9935, 0.9919962335216572, 6, sqrt, dictionary
1.0, 1.0, 7, sqrt, None
0.9996666666666667, 0.9995291902071564, 7, sqrt, dictionary
1.0, 1.0, 8, sqrt, None
1.0, 1.0, 8, sqrt, dictionary
1.0, 1.0, 9, sqrt, None
1.0, 1.0, 9, sqrt, dictionary
1.0, 1.0, 10, sqrt, None
1.0, 1.0, 10, sqrt, dictionary
